Run_ID,Cohort,Scenario,PTEN_normal,PTEN_null,Total_cells,Androgen_condition,Uptake_rate_multiplier,Uptake_celltype,Cell_cell_adhesion_multiplier,Migration_speed_multiplier,AdhMot_celltype,Clone_type,Seed
287,BR,Scenario2,75,75,150,High,1,both,3,0.8,PTEN_null,-,73205
288,BR,Scenario2,75,75,150,High,1,both,3,0.8,PTEN_null,-,10939
289,BR,Scenario2,75,75,150,High,1,both,3,0.8,PTEN_null,-,84752
290,BR,Scenario2,75,75,150,High,1,both,3,0.8,PTEN_null,-,62700
291,BR,Scenario2,75,75,150,High,1,both,7,0.7,PTEN_null,-,42
292,BR,Scenario2,75,75,150,High,1,both,7,0.7,PTEN_null,-,101
293,BR,Scenario2,75,75,150,High,1,both,7,0.7,PTEN_null,-,2025
294,BR,Scenario2,75,75,150,High,1,both,7,0.7,PTEN_null,-,6789
295,BR,Scenario2,75,75,150,High,1,both,7,0.7,PTEN_null,-,13579
296,BR,Scenario2,75,75,150,High,1,both,7,0.7,PTEN_null,-,24680
297,BR,Scenario2,75,75,150,High,1,both,7,0.7,PTEN_null,-,73205
298,BR,Scenario2,75,75,150,High,1,both,7,0.7,PTEN_null,-,10939
299,BR,Scenario2,75,75,150,High,1,both,7,0.7,PTEN_null,-,84752
300,BR,Scenario2,75,75,150,High,1,both,7,0.7,PTEN_null,-,62700
301,BR,Scenario2,75,75,150,High,1,both,10,0.6,PTEN_null,-,42
302,BR,Scenario2,75,75,150,High,1,both,10,0.6,PTEN_null,-,101
303,BR,Scenario2,75,75,150,High,1,both,10,0.6,PTEN_null,-,2025
304,BR,Scenario2,75,75,150,High,1,both,10,0.6,PTEN_null,-,6789
305,BR,Scenario2,75,75,150,High,1,both,10,0.6,PTEN_null,-,13579
306,BR,Scenario2,75,75,150,High,1,both,10,0.6,PTEN_null,-,24680
307,BR,Scenario2,75,75,150,High,1,both,10,0.6,PTEN_null,-,73205
308,BR,Scenario2,75,75,150,High,1,both,10,0.6,PTEN_null,-,10939
309,BR,Scenario2,75,75,150,High,1,both,10,0.6,PTEN_null,-,84752
310,BR,Scenario2,75,75,150,High,1,both,10,0.6,PTEN_null,-,62700
311,BR,Scenario2,75,75,150,High,100,both,0.1,2,PTEN_null,-,42
312,BR,Scenario2,75,75,150,High,100,both,0.1,2,PTEN_null,-,101
313,BR,Scenario2,75,75,150,High,100,both,0.1,2,PTEN_null,-,2025
314,BR,Scenario2,75,75,150,High,100,both,0.1,2,PTEN_null,-,6789
315,BR,Scenario2,75,75,150,High,100,both,0.1,2,PTEN_null,-,13579
316,BR,Scenario2,75,75,150,High,100,both,0.1,2,PTEN_null,-,24680
317,BR,Scenario2,75,75,150,High,100,both,0.1,2,PTEN_null,-,73205
318,BR,Scenario2,75,75,150,High,100,both,0.1,2,PTEN_null,-,10939
319,BR,Scenario2,75,75,150,High,100,both,0.1,2,PTEN_null,-,84752
320,BR,Scenario2,75,75,150,High,100,both,0.1,2,PTEN_null,-,62700
321,BR,Scenario2,75,75,150,High,100,both,0.5,1.6,PTEN_null,-,42
322,BR,Scenario2,75,75,150,High,100,both,0.5,1.6,PTEN_null,-,101
323,BR,Scenario2,75,75,150,High,100,both,0.5,1.6,PTEN_null,-,2025
324,BR,Scenario2,75,75,150,High,100,both,0.5,1.6,PTEN_null,-,6789
325,BR,Scenario2,75,75,150,High,100,both,0.5,1.6,PTEN_null,-,13579
326,BR,Scenario2,75,75,150,High,100,both,0.5,1.6,PTEN_null,-,24680
